id,created_at,updated_at,product_code,title,description,model_size,model_height,fabric_stretch,fabric_material,main_fiber_content,care_advice,care_instructions,price,markdown
179,2019-07-26 17:10:54.822842,2019-07-26 17:10:54.822842,1485835,The North Face Shine On t-shirt in pink with pocket,,Model wears: UK S/ EU S/ US XS,Model's height: 178cm/5'10,"",Lightweight,"",Lightly textured  Main: 55% Viscose  24% Cotton,Main: 55% Viscose  24% Cotton  21% Linen.,35.0,0.0
180,2019-07-26 17:10:54.826731,2019-07-26 17:10:54.826731,1489304,Peek & Beau Curve Exclusive Eco scoop swimsuit with drawstring channel waist in floral,,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,Broderie anglaise,Broderie anglaiseEmbroidered eyelet fabricIt's a cute all-rounder,Main: 85% Polyamide,"","",57.0,0.0
181,2019-07-26 17:10:54.830397,2019-07-26 17:10:54.830397,1466811,Pull&Bear dress with crochet detail in white,,Model wears: UK 18/ EU 46/ US 14,Model's height:  180 cm/5'11,"Hey, fancy pants",Stretch lace,"",fancy pants Gusset: 100% Cotton  Main: 85% Polyamide,Gusset: 100% Cotton  Main: 85% Polyamide  15% Spandex.,42.0,0.0
182,2019-07-26 17:10:54.833897,2019-07-26 17:10:54.833897,1476240,adidas Originals adicolor cropped hoodie in white,,Model wears: UK 8/ EU 36/ US 4,Model's height: 165cm/5'5,"",Stretch denim,Body: 100% Polyester.,Main: 98% Cotton  2% Spandex.,2% Spandex.,60.0,0.0
184,2019-07-26 17:10:54.841491,2019-07-26 17:10:54.841491,1446063,Pull&Bear slim mom stretch jeans in dark blue,,Model wears: UK 8/ EU 36/ US 4,Model's height: 180cm/5'11,Satin-style fabric,Satin-style fabricSilky and super smooth,"","","",32.0,0.0
185,2019-07-26 17:10:54.84521,2019-07-26 17:10:54.84521,1416233,Pull&Bear frille detail button front midi dress in green,,Model wears: UK 6/ EU 34/ US 2,Model's height: 164cm/5'4.5,Linen-mix jersey,Linen-mix jerseyTextured,Body: 100% Cotton.,Main: 90% Polyester  10% Linen.,10% Linen.,49.9,0.0
186,2019-07-26 17:10:54.848634,2019-07-26 17:10:54.848634,1470437,The North Face 92 Rage heavyweight long sleeve top in white,,Model wears: UK XS/ EU XS/ US XS,Model's height: 175 cm/5'9,"",Soft-touch jersey,"",in other words Body: 100% Cotton.,Body: 100% Cotton.,40.0,0.0
187,2019-07-26 17:10:54.852101,2019-07-26 17:10:54.852101,1400328,Peek & Beau Curve Exclusive Eco stripe padded bandeau bikini with dusty pink frill,,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,Stretchy swim fabric,"",Lining: 100% Polyester,"","",42.0,0.0
188,2019-07-26 17:10:54.855817,2019-07-26 17:10:54.855817,1433690,Peek & Beau Curve Exclusive Eco scoop swimsuit with drawstring channel waist in floral,,Model wears: UK 8/ EU 36/ US 4,Model's height: 168cm/5'6,"",Lightweight woven fabric,"",Lining: 100% Polyester  Shell: 100% Polyester.,Shell: 100% Polyester.,57.0,0.0
190,2019-07-26 17:10:54.862678,2019-07-26 17:10:54.862678,1476237,ASOS DESIGN denim wrap tie front midi skirt in off white,,Model wears: UK S/ EU S/ US XS,Model's height:  170cm/5'7,Lightweight viscose,Lightweight viscoseSoft and drapey,"",Main: 100% Viscose.,"",45.0,0.0
